hhid;cluster_nb;hh_nb;sample_weight;year;urban_rural;electricity;radio;tv;fridge;motorcycle;car_truck;telephone;recode_toilet;recode_water;recode_floor;rooms_per_person
    00400086;40;86;1870842;2016;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
    03390018;339;18;450565;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    00290008;29;8;504429;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    00820101;82;101;376021;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02000040;200;40;2327556;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    01970112;197;112;220736;2016;urban;1;1;1;0;0;0;0;0;1;0;0,25
    00710028;71;28;970654;2016;rural;0;0;0;0;0;0;0;1;0;0;0,25
    02850116;285;116;941891;2016;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
    02970035;297;35;323670;2016;urban;0;1;0;0;0;0;0;0;1;0;0,25
    00760007;76;7;850260;2016;rural;1;1;0;0;0;0;0;1;0;0;0,25
    00170164;17;164;422350;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00250028;25;28;594637;2016;rural;0;1;0;0;0;0;0;0;1;0;0,166666667
    00710096;71;96;970654;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00630029;63;29;771753;2016;rural;0;1;0;0;0;0;0;0;1;0;1
    02440008;244;8;276735;2016;rural;1;1;0;0;0;0;0;0;1;0;0,125
    02570054;257;54;534159;2016;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
    01980189;198;189;690859;2016;urban;1;1;1;0;0;0;0;0;1;0;0,333333333
    00190160;19;160;475120;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    01320149;132;149;344864;2016;urban;1;1;1;1;0;1;0;1;1;0;1
    02590021;259;21;555646;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    00390024;39;24;380186;2016;urban;0;0;0;0;0;0;0;0;1;0;0,333333333
    02300169;230;169;1285453;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02280062;228;62;2194340;2016;rural;0;1;0;0;0;0;0;0;1;0;1
    00010057;1;57;3191028;2016;rural;1;1;1;0;0;0;0;0;1;0;0,25
    03320136;332;136;981132;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02330042;233;42;1841078;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    00210059;21;59;450264;2016;rural;0;1;0;0;0;0;0;0;1;0;0,4
    00290158;29;158;504429;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02660146;266;146;180206;2016;urban;1;1;1;0;0;0;0;0;1;0;0,5
    03040078;304;78;880748;2016;rural;0;0;0;0;0;0;0;0;0;0;0,125
    00210086;21;86;450264;2016;rural;0;0;0;0;0;0;0;0;1;0;0,25
    02310073;231;73;1027513;2016;rural;0;0;0;0;0;0;0;0;0;0;0,666666667
    02880189;288;189;2766601;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02260045;226;45;1444959;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00240184;24;184;764745;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    03050063;305;63;120842;2016;urban;1;1;1;1;0;0;0;0;1;0;0,5
    00280235;28;235;856656;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00820012;82;12;376021;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    01980217;198;217;690859;2016;urban;1;1;1;0;1;0;0;1;1;0;0,4
    00790018;79;18;1187015;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02800008;280;8;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    00410013;41;13;843606;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    00900134;90;134;1051662;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    00560003;56;3;1410119;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    02680068;268;68;413589;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    03500003;350;3;724197;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    01160115;116;115;210334;2016;urban;1;0;1;0;0;0;0;1;1;0;0,5
    00300292;30;292;599299;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    03190011;319;11;642841;2016;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
    01250057;125;57;658762;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    00630032;63;32;771753;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00070033;7;33;5035069;2016;rural;0;0;0;0;0;0;0;1;1;0;1
    02710017;271;17;565348;2016;rural;0;1;0;0;0;0;0;0;0;0;0,666666667
    00160091;16;91;1312863;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00720017;72;17;1296508;2016;rural;0;0;0;0;0;0;0;0;0;0;0,166666667
    02590001;259;1;555646;2016;rural;0;0;0;0;0;0;0;0;1;0;0,166666667
    00760136;76;136;850260;2016;rural;0;0;0;0;0;0;0;0;1;0;0,125
    00010122;1;122;3191028;2016;rural;1;0;1;0;0;0;0;1;1;0;0,2
    00730046;73;46;1432144;2016;rural;0;0;0;0;0;0;0;0;0;0;0,4
    02160065;216;65;1605654;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00300052;30;52;599299;2016;rural;0;1;0;0;0;0;0;0;1;0;0,4
    00670028;67;28;1117967;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02680010;268;10;413589;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    02280037;228;37;2194340;2016;rural;0;0;0;0;0;0;0;0;1;0;0,2
    02380226;238;226;1374570;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02030067;203;67;1761332;2016;urban;1;1;1;0;0;0;0;0;1;0;0,285714286
    00670081;67;81;1117967;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    02300181;230;181;1285453;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00760063;76;63;850260;2016;rural;0;0;0;0;0;0;0;1;1;0;0,166666667
    00670041;67;41;1117967;2016;rural;0;1;0;0;0;0;0;0;0;0;0,333333333
    00210079;21;79;450264;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00820079;82;79;376021;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    02290093;229;93;2147839;2016;rural;0;1;0;0;0;0;0;0;0;0;0,5
    02580046;258;46;574758;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    00820105;82;105;376021;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02280023;228;23;2194340;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    00210010;21;10;450264;2016;rural;0;0;0;0;0;0;0;0;1;0;0,142857143
    00770112;77;112;875372;2016;rural;1;1;0;0;0;0;0;1;0;0;0,6
    01180189;118;189;607422;2016;rural;0;1;0;0;0;0;0;0;1;0;0,333333333
    00210128;21;128;450264;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    02780015;278;15;1391501;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02570045;257;45;534159;2016;rural;0;0;0;0;0;0;0;1;1;0;0,166666667
    02040155;204;155;879247;2016;rural;0;1;0;0;0;0;0;0;0;0;1
    00110090;11;90;2276068;2016;rural;0;1;0;0;0;0;0;0;1;0;0,2
    00910124;91;124;589633;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    01250013;125;13;658762;2016;rural;0;1;0;0;0;0;0;0;1;0;0,4
    02040090;204;90;879247;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00820060;82;60;376021;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00200146;20;146;441384;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    00290015;29;15;504429;2016;rural;0;0;0;0;0;0;0;0;1;0;1
    03030011;303;11;471083;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02130042;213;42;775184;2016;urban;0;0;0;0;0;0;0;0;1;0;0,666666667
    00780116;78;116;1950672;2016;rural;0;1;0;0;0;0;0;1;0;0;0,666666667
    02420149;242;149;128791;2016;urban;0;1;0;0;0;0;0;0;0;0;0,2
    02800142;280;142;887221;2016;rural;0;0;0;0;0;0;0;0;0;0;0,5
    02160057;216;57;1605654;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    02390044;239;44;2216875;2016;rural;0;0;0;0;0;0;0;0;0;0;0,285714286
    02390058;239;58;2216875;2016;rural;0;0;0;0;0;0;0;0;0;0;0,333333333
    02920011;292;11;1568655;2016;rural;0;0;0;0;0;0;0;0;0;0;0,25
    01250116;125;116;658762;2016;rural;0;0;0;0;0;0;0;1;1;0;0,333333333
    00560137;56;137;1410119;2016;rural;0;1;1;0;0;0;0;0;1;0;0,5
    02930054;293;54;848626;2016;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
    00560166;56;166;1410119;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    00820042;82;42;376021;2016;rural;0;0;0;0;0;0;0;0;1;0;1
    03180078;318;78;183787;2016;urban;1;1;1;0;0;0;0;0;1;0;0,5
    00430008;43;8;1631092;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    01180160;118;160;607422;2016;rural;0;0;0;0;0;0;0;1;1;0;0,5
    01290075;129;75;810280;2016;rural;0;1;0;0;0;0;0;0;1;0;0,25
    00790088;79;88;1187015;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00080126;8;126;3364807;2016;rural;0;1;0;0;0;0;0;0;1;0;0,4
    02040036;204;36;879247;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    02270017;227;17;1443191;2016;urban;0;0;0;0;0;0;0;0;1;0;0,5
    00480074;48;74;267624;2016;rural;0;0;0;0;0;0;0;0;1;0;0,5
    02730092;273;92;2261701;2016;urban;0;1;0;0;0;0;0;0;1;0;0,142857143
    01070045;107;45;1473039;2016;rural;0;1;0;0;0;0;0;0;1;0;0,5
    03180108;318;108;183787;2016;urban;0;0;0;0;0;0;0;1;1;0;0,333333333
    00770090;77;90;875372;2016;rural;0;1;0;0;0;0;0;1;0;0;0,5
    02880172;288;172;2766601;2016;rural;0;1;0;0;0;0;0;0;0;0;0,25
    03180030;318;30;183787;2016;urban;1;1;1;0;0;0;0;0;1;0;0,333333333
    03280046;328;46;477459;2016;rural;1;1;0;0;0;0;0;0;1;0;0,142857143
    03320157;332;157;981132;2016;rural;0;1;0;0;0;0;0;0;1;0;1
    01230049;123;49;330890;2016;rural;0;0;0;0;0;0;0;0;1;0;0,333333333
    00610217;61;217;471602;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
    00880043;88;43;335743;2016;rural;0;0;0;0;0;0;0;0;0;0;0,142857143
    02040149;204;149;879247;2016;rural;0;0;0;0;0;0;0;0;0;0;1
    02310114;231;114;1027513;2016;rural;0;1;0;0;0;0;0;0;0;0;0,2
