Grappe,Longitude,Latitude
1,47.50284713,-18.9035981
2,47.51456889,-18.90422764
3,47.50846729,-18.90744
4,47.5126883,-18.91407082
5,47.53946856,-18.91736051
6,47.56081754,-18.91492177
7,47.53499032,-18.92934698
8,47.53961181,-18.93961462
9,47.51693971,-18.89104647
10,47.53047844,-18.89947356
11,47.53449771,-18.90522793
12,47.49544911,-18.92767747
13,47.51496554,-18.92429933
14,47.5205143,-18.94056744
15,47.51803638,-18.93437408
16,47.51652043,-18.85344166
17,47.51969806,-18.8713595
18,47.54073567,-18.88449341
19,47.53096242,-18.8892483
20,47.5467215,-18.89195975
21,47.54783452,-18.89743265
22,47.55183696,-18.91064341
23,47.4871185,-18.86002248
24,47.50114784,-18.87252304
25,46.97794936,-18.30461716
26,47.85843043,-18.46968687
27,47.80208658,-18.91150899
28,47.55802583,-18.83458469
29,47.48739456,-18.91077471
30,47.60691172,-19.20904457
31,46.93519545,-18.35633765
32,47.22041223,-18.68149583
33,47.93875318,-18.17914992
34,47.65511387,-18.43657428
35,47.46147174,-18.84873104
36,47.36789662,-18.7270759
37,47.49550542,-18.82537391
38,47.67683871,-18.65662373
39,47.67478969,-18.86543488
40,47.60403869,-18.78125096
41,47.55375577,-18.86377278
42,47.5776189,-18.90520039
43,47.64302345,-18.93345834
44,47.46956354,-18.91596632
45,47.46821216,-18.96695706
46,47.53417828,-18.97717529
47,47.56491872,-19.07234638
48,47.63924286,-19.14623768
49,47.03945232,-19.84239082
50,47.0322847,-19.84411057
51,47.00933735,-19.86521389
52,47.04315123,-19.86822864
53,47.02364689,-19.86935031
54,46.99532028,-19.90171616
55,47.03513845,-19.87651601
56,47.06157483,-19.91034311
57,47.42853551,-19.3864136
58,46.8666743,-19.38787165
59,46.9539171,-19.41507072
60,46.31191259,-19.64903072
61,47.32282688,-19.66680028
62,47.30581591,-19.72685655
63,46.8356285,-19.87129595
64,47.14684098,-19.79829896
65,47.35749381,-19.31906913
66,47.3238566,-19.36942731
67,47.57587653,-19.40861074
68,47.63057686,-19.5136622
69,47.70460523,-19.5829295
70,47.0837412,-19.34456725
71,47.00220925,-19.4840079
72,46.81854203,-19.49296203
73,46.9615705,-19.60954929
74,46.22630628,-19.60682529
75,46.50896598,-19.49018776
76,46.53067936,-19.58040621
77,47.33614424,-19.52208259
78,47.43133902,-19.51770609
79,47.52887804,-19.54668928
80,47.2148339,-19.61463989
81,47.57540862,-19.72729386
82,47.48774479,-19.72491815
83,46.93532927,-19.74785224
84,46.74185244,-19.74341876
85,46.64176786,-19.6477033
86,46.74702805,-19.87795777
87,46.86589966,-20.16565804
88,46.51449181,-20.20292986
89,47.13872789,-19.6039505
90,46.99066177,-19.69237025
91,47.02102854,-19.64578417
92,46.98560282,-19.94109283
93,47.14696501,-19.88189836
94,47.27422359,-19.86061767
95,47.37271069,-19.95959005
96,47.10504547,-20.09879117
97,46.91556514,-18.95046598
98,47.1816498,-19.00299876
99,47.20733401,-19.02817737
100,47.35002724,-18.9686165
101,47.2820599,-19.05437828
102,47.33201692,-19.02218715
103,46.74370684,-19.09912509
104,46.75364352,-19.15054417
105,46.9313676,-18.9209025
106,46.85008761,-18.86218355
107,46.92098879,-19.04538461
108,46.63241155,-18.86395388
109,46.72312014,-18.97164196
110,46.61054808,-18.9101028
111,47.0051533,-19.15346558
112,46.79258166,-18.84483965
113,47.04848314400,-18.80921310550
114,47.15614184,-18.77292532
115,47.31946663,-18.90238232
116,47.39334576,-18.9268631
117,47.24789859,-19.06129944
118,47.34241449,-19.07342991
119,47.12765939,-19.12954581
120,47.32393956,-19.18137391
121,47.39135432,-19.2728681
122,47.17504237,-19.31221057
123,46.75216122,-19.07108287
124,46.57403649,-19.15144219
125,46.85857947,-19.21074545
126,46.52520108,-19.12192766
127,46.3432399,-19.22997202
128,46.54705568,-19.27878242
129,46.04504625,-18.76441244
130,46.04643534,-18.76805867
131,46.05521683,-18.78004166
132,46.66286794,-18.41813523
133,46.6389725,-18.47305836
134,45.54995352,-18.31481347
135,46.17364943,-18.47906138
136,46.21384431,-18.6003898
137,46.21774809,-18.74486077
138,46.48009323,-18.71202016
139,46.44511869,-18.8521276
140,45.97512596,-18.6585753
141,46.11328964,-18.78940656
142,46.08886755,-18.94453732
143,46.37200053,-18.98451043
144,46.41926209,-18.95544884
145,46.45683506,-19.01819584
146,46.20594842,-19.11838367
147,46.34584598,-19.05386171
148,46.15377886,-19.36214361
149,46.12151435,-19.03168454
150,45.98711932,-19.04789314
151,45.96365226,-19.19847514
152,46.01181514,-19.01169285
153,45.75465168,-19.02758898
154,46.85597676,-18.6067536
155,46.91236012,-18.60022163
156,46.12871428,-18.28849246
157,46.39780309,-17.87119036
158,46.42732185,-18.02999257
159,45.82397024,-18.35466711
160,46.41575792,-18.51830983
161,47.0866449,-21.45799593
162,47.08517374,-21.465921
163,47.08549911,-21.4371605
164,47.08944678,-21.44758759
165,47.10733345,-21.44835095
166,47.07495813,-21.42380646
167,47.06291277,-21.4886237
168,46.49556494,-21.1083988
169,46.62957847,-21.21226384
170,47.18663739,-21.38218969
171,47.13308232,-21.68497667
172,46.90729073,-21.84422762
173,47.03357726,-22.07047994
174,47.24005537,-21.1433209
175,47.06576673,-21.07160739
176,47.23570928,-20.96322544
177,47.03935374,-21.14030139
178,47.07668588,-20.9729327
179,47.23226744,-20.84019755
180,46.27768637,-20.9905986
181,46.57280056,-21.38757475
182,46.8654423,-21.09649758
183,46.92981606,-21.36160689
184,46.85040454,-21.46875937
185,46.96869235,-21.14148386
186,47.23989464,-21.34772504
187,47.26178523,-21.42090734
188,47.36117369,-21.47472935
189,47.09987039,-21.38893996
190,47.30021039,-21.76053926
191,46.82416739,-21.55192509
192,46.99582401,-21.64465735
193,47.11142565,-21.75449491
194,47.16069302,-21.9256802
195,47.0458841,-21.87159157
196,46.9801846,-21.87280451
197,46.84357599,-21.82453265
198,46.66808298,-21.97932849
199,46.48838237,-21.90272788
200,46.2807991,-21.76633363
201,47.25430503,-20.52217494
202,47.24647469,-20.53794713
203,47.35050916,-20.21489612
204,47.37708727,-20.2306396
205,46.80291906,-20.55028926
206,46.96859098,-20.62990663
207,47.07446236,-20.76804925
208,47.05811888,-20.33531454
209,47.24508635,-20.48465123
210,47.30579305,-20.47903724
211,47.3392607,-20.5385431
212,47.37160519,-20.58506949
213,47.52175762,-20.66950505
214,47.22079775,-20.62886679
215,47.27595784,-20.74278248
216,47.26887129,-20.07935398
