hhweight;cluster_nb;hh_nb;year;urban_rural;rooms_per_person;telephone;radio;electricity;tv;fridge;motorcycle;car_truck;recode_floor;recode_water;recode_toilet
1,437961621;1;1;2018;urban;0,2;0;1;1;1;0;1;0;0;1;1
1,437961621;1;2;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,437961621;1;3;2018;urban;0,5;0;0;1;1;1;0;0;1;1;1
1,437961621;1;9;2018;urban;0,2;0;0;0;0;0;0;0;0;1;4
1,437961621;1;10;2018;urban;0,333333333;0;0;1;1;0;0;0;1;1;1
1,437961621;1;11;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,437961621;1;12;2018;urban;0,25;0;1;0;0;0;0;0;1;1;1
1,437961621;1;14;2018;urban;0,25;0;0;1;1;0;0;0;1;1;4
1,437961621;1;16;2018;urban;0,2;0;1;1;0;0;0;0;0;1;1
1,437961621;1;17;2018;urban;0,5;0;1;1;1;1;0;0;1;1;1
1,437961621;1;19;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
1,437961621;1;20;2018;urban;0,333333333;0;1;1;0;0;0;0;1;1;1
1,437961621;1;21;2018;urban;0,2;0;1;0;0;0;0;0;1;1;1
1,437961621;1;22;2018;urban;0,166666667;0;1;1;1;0;1;0;0;1;1
1,437961621;1;24;2018;urban;0,4;0;1;1;1;0;1;0;1;1;1
1,437961621;1;26;2018;urban;0,2;0;1;1;1;0;0;0;0;1;1
2,300094358;2;1;2018;urban;0,666666667;0;1;1;1;0;0;0;0;1;1
2,300094358;2;2;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
2,300094358;2;3;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
2,300094358;2;4;2018;urban;0,333333333;0;1;1;1;0;0;0;0;1;1
2,300094358;2;5;2018;urban;0,333333333;0;0;0;0;0;0;0;0;1;
2,300094358;2;7;2018;urban;0,5;0;1;1;0;0;0;0;1;1;1
2,300094358;2;8;2018;urban;0,2;0;0;1;1;0;0;0;0;1;1
2,300094358;2;9;2018;urban;0,5;0;1;1;1;1;0;0;1;1;1
2,300094358;2;10;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
2,300094358;2;11;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
2,300094358;2;12;2018;urban;0,166666667;0;1;1;1;0;0;0;0;1;1
2,300094358;2;13;2018;urban;0,25;0;0;1;1;0;0;0;0;1;1
2,300094358;2;14;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
2,300094358;2;15;2018;urban;0,111111111;0;1;1;1;0;0;0;1;1;1
2,300094358;2;16;2018;urban;0,666666667;0;1;1;0;0;0;0;0;1;1
2,300094358;2;17;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
2,300094358;2;18;2018;urban;0,166666667;0;1;1;1;0;0;0;1;1;1
2,300094358;2;21;2018;urban;0,333333333;0;1;1;0;0;0;0;0;1;1
2,300094358;2;22;2018;urban;0,333333333;0;0;1;1;0;0;0;1;1;1
2,300094358;2;23;2018;urban;0,166666667;0;1;1;1;0;0;0;1;1;1
2,300094358;2;24;2018;urban;1;0;0;0;0;0;0;0;0;1;1
2,300094358;2;26;2018;urban;0,272727273;0;1;1;1;0;0;0;0;1;1
1,277340874;3;1;2018;urban;1,333333333;0;1;1;1;1;1;0;1;1;1
1,277340874;3;2;2018;urban;3;0;0;1;1;0;1;0;0;1;1
1,277340874;3;3;2018;urban;0,5;0;1;1;1;1;0;0;1;1;1
1,277340874;3;4;2018;urban;0,666666667;0;1;1;1;1;0;1;1;1;1
1,277340874;3;5;2018;urban;0,333333333;0;1;1;1;0;0;0;0;1;1
1,277340874;3;6;2018;urban;0,2;0;1;1;1;0;1;0;0;1;1
1,277340874;3;7;2018;urban;0,333333333;0;1;1;1;1;0;0;0;1;1
1,277340874;3;8;2018;urban;0,25;0;1;1;1;1;0;0;0;1;1
1,277340874;3;11;2018;urban;0,25;0;1;1;1;1;0;1;1;1;1
1,277340874;3;12;2018;urban;0,5;0;1;1;1;1;0;1;1;1;1
1,277340874;3;13;2018;urban;0,5;0;1;1;0;0;0;0;1;1;1
1,277340874;3;14;2018;urban;1;0;1;1;1;0;0;0;0;1;1
1,277340874;3;15;2018;urban;1;0;1;1;1;1;1;1;0;1;1
1,277340874;3;16;2018;urban;0,5;0;1;1;1;1;0;0;1;1;1
1,277340874;3;17;2018;urban;0,5;0;0;1;1;1;0;0;0;1;1
1,277340874;3;18;2018;urban;0,5;0;1;1;1;1;0;1;0;1;1
1,277340874;3;19;2018;urban;0,333333333;0;1;1;1;1;0;0;0;1;1
1,277340874;3;20;2018;urban;0,25;0;1;1;1;1;0;1;1;1;1
1,277340874;3;21;2018;urban;0,2;0;0;1;1;1;1;0;0;1;1
1,277340874;3;22;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,277340874;3;24;2018;urban;0,8;0;1;1;1;1;1;0;0;1;1
1,277340874;3;25;2018;urban;0,666666667;0;0;1;1;1;0;0;1;1;1
1,277340874;3;26;2018;urban;0,166666667;0;1;1;1;0;0;0;0;1;1
0,920433146;4;1;2018;urban;1;1;1;1;1;0;0;0;1;1;1
0,920433146;4;2;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
0,920433146;4;3;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
0,920433146;4;4;2018;urban;0,428571429;0;1;1;1;1;0;0;1;1;1
0,920433146;4;5;2018;urban;0,25;0;1;1;1;0;0;0;0;1;1
0,920433146;4;6;2018;urban;0,444444444;0;1;1;1;1;0;1;1;1;1
0,920433146;4;7;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
0,920433146;4;8;2018;urban;0,666666667;0;1;1;1;0;0;0;1;1;1
0,920433146;4;9;2018;urban;0,5;0;1;0;0;0;0;0;0;1;1
0,920433146;4;10;2018;urban;0,2;0;1;1;1;1;0;0;1;1;1
0,920433146;4;11;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
0,920433146;4;12;2018;urban;0,125;0;1;1;1;0;0;0;1;1;1
0,920433146;4;13;2018;urban;1;1;1;1;0;0;0;0;1;1;1
0,920433146;4;14;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
0,920433146;4;15;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
0,920433146;4;16;2018;urban;0,2;0;1;1;1;1;0;0;1;1;1
0,920433146;4;17;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
0,920433146;4;18;2018;urban;0,666666667;0;1;1;1;1;1;0;1;1;1
0,920433146;4;19;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
0,920433146;4;20;2018;urban;0,333333333;0;1;0;0;0;0;0;0;1;1
0,920433146;4;21;2018;urban;0,285714286;0;1;1;1;0;0;0;1;1;
0,920433146;4;22;2018;urban;0,6;0;1;1;1;1;0;1;1;1;1
0,920433146;4;23;2018;urban;0,285714286;0;0;1;1;1;0;0;1;1;1
0,920433146;4;24;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
0,920433146;4;25;2018;urban;0,5;0;1;1;1;1;1;0;1;1;4
0,920433146;4;26;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
2,435090484;5;1;2018;urban;0,333333333;0;1;1;0;0;0;0;0;1;1
2,435090484;5;4;2018;urban;0,333333333;0;0;1;1;0;1;0;1;1;1
2,435090484;5;6;2018;urban;0,166666667;0;1;1;1;0;0;0;1;1;1
2,435090484;5;7;2018;urban;0,5;0;1;1;1;1;1;0;1;1;4
2,435090484;5;9;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
2,435090484;5;10;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
2,435090484;5;11;2018;urban;0,25;0;1;1;1;1;0;0;1;1;1
2,435090484;5;12;2018;urban;1;0;0;1;0;1;1;0;1;1;1
2,435090484;5;14;2018;urban;0,166666667;0;1;1;1;0;0;0;1;1;1
2,435090484;5;16;2018;urban;0,25;0;1;1;0;0;0;0;0;1;1
2,435090484;5;19;2018;urban;0,285714286;0;1;0;0;0;0;0;1;1;1
2,435090484;5;22;2018;urban;1;0;1;1;1;1;0;0;1;1;1
2,435090484;5;23;2018;urban;0,25;0;0;1;0;0;0;0;1;1;4
2,435090484;5;24;2018;urban;0,333333333;0;0;1;1;0;0;0;0;1;1
2,435090484;5;25;2018;urban;0,2;0;0;1;1;0;0;0;0;1;1
1,638552348;6;1;2018;urban;1;0;0;0;0;0;0;0;1;1;1
1,638552348;6;2;2018;urban;0,666666667;0;1;1;1;1;0;0;1;0;1
1,638552348;6;3;2018;urban;0,333333333;0;1;1;1;0;0;0;0;1;1
1,638552348;6;4;2018;urban;0,5;0;0;1;1;0;0;0;1;1;1
1,638552348;6;6;2018;urban;1;0;0;1;1;0;0;0;1;1;1
1,638552348;6;7;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
1,638552348;6;8;2018;urban;0,214285714;0;1;1;1;0;0;1;1;1;1
1,638552348;6;9;2018;urban;1;0;0;1;0;0;0;0;1;1;1
1,638552348;6;10;2018;urban;2;0;1;1;1;1;0;0;1;1;1
1,638552348;6;11;2018;urban;0,666666667;0;1;1;1;0;0;0;1;1;1
1,638552348;6;12;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
1,638552348;6;13;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,638552348;6;14;2018;urban;0,25;0;1;1;1;0;0;0;0;1;1
1,638552348;6;15;2018;urban;1;0;0;1;1;0;0;0;1;1;1
1,638552348;6;16;2018;urban;1;0;0;1;1;0;0;0;0;1;1
1,638552348;6;17;2018;urban;1;0;1;1;1;1;0;0;0;1;1
1,638552348;6;18;2018;urban;1;0;0;1;0;0;0;0;1;1;1
1,638552348;6;19;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,638552348;6;20;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
1,638552348;6;21;2018;urban;0,4;0;1;1;1;0;0;0;0;1;1
1,638552348;6;22;2018;urban;0,2;0;0;1;0;0;0;0;1;1;1
1,638552348;6;23;2018;urban;1;0;1;1;0;0;0;0;1;1;4
1,638552348;6;24;2018;urban;0,666666667;0;1;1;1;0;0;0;1;1;1
1,638552348;6;25;2018;urban;0,333333333;0;0;1;1;0;0;0;1;1;4
1,638552348;6;26;2018;urban;0,166666667;0;1;1;1;0;0;0;0;1;1
1,965328531;7;1;2018;urban;0,25;0;1;1;1;0;0;0;1;1;4
1,965328531;7;2;2018;urban;0,333333333;0;0;1;0;0;0;0;1;1;4
1,965328531;7;3;2018;urban;1;0;1;1;0;0;0;0;1;1;4
1,965328531;7;4;2018;urban;0,666666667;0;1;1;1;0;0;0;0;1;1
1,965328531;7;5;2018;urban;0,5;0;0;1;0;1;0;0;1;1;4
1,965328531;7;6;2018;urban;0,2;0;0;1;1;0;0;0;0;1;1
1,965328531;7;7;2018;urban;0,25;0;0;1;1;0;0;0;1;1;1
1,965328531;7;8;2018;urban;0,5;0;1;1;0;0;0;0;1;1;4
1,965328531;7;9;2018;urban;0,333333333;0;0;1;1;0;0;0;0;1;4
1,965328531;7;10;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,965328531;7;11;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,965328531;7;12;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
1,965328531;7;13;2018;urban;0,285714286;0;1;1;1;0;0;0;1;1;1
1,965328531;7;14;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
1,965328531;7;15;2018;urban;0,2;0;0;0;0;0;0;0;0;1;1
1,965328531;7;16;2018;urban;0,4;0;1;1;1;0;0;0;1;1;1
1,965328531;7;17;2018;urban;0,166666667;0;0;1;1;0;0;0;1;1;4
1,965328531;7;18;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
1,965328531;7;19;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,965328531;7;20;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,965328531;7;21;2018;urban;0,5;0;0;0;0;0;0;0;1;1;1
1,965328531;7;23;2018;urban;1;0;1;1;1;0;0;0;1;1;1
1,965328531;7;24;2018;urban;0,5;0;1;1;0;0;0;0;1;1;4
1,965328531;7;25;2018;urban;0,4;0;1;1;1;0;0;0;1;1;4
1,965328531;7;26;2018;urban;0,25;0;1;1;1;0;1;0;1;1;4
1,214989981;8;1;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,214989981;8;2;2018;urban;0,5;0;1;1;1;1;0;0;1;1;1
1,214989981;8;3;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
1,214989981;8;5;2018;urban;0,444444444;0;1;1;1;1;0;1;1;1;4
1,214989981;8;6;2018;urban;0,333333333;0;0;1;1;0;0;0;1;1;1
1,214989981;8;7;2018;urban;0,166666667;0;1;1;1;0;0;0;1;1;1
1,214989981;8;8;2018;urban;1;0;1;1;1;1;0;0;1;1;1
1,214989981;8;9;2018;urban;0,5;0;1;1;1;0;1;0;1;1;1
1,214989981;8;10;2018;urban;0,2;0;1;1;1;1;0;0;1;1;1
1,214989981;8;11;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
1,214989981;8;12;2018;urban;0,666666667;0;0;1;1;1;1;0;1;1;4
1,214989981;8;13;2018;urban;0,333333333;0;0;1;1;0;1;0;1;1;1
1,214989981;8;14;2018;urban;0,6;0;1;1;1;1;0;1;1;1;1
1,214989981;8;15;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
1,214989981;8;16;2018;urban;0,333333333;0;1;1;1;0;1;0;1;1;1
1,214989981;8;17;2018;urban;0,666666667;0;1;1;1;1;0;1;1;1;1
1,214989981;8;18;2018;urban;0,25;0;0;1;1;0;0;0;1;1;4
1,214989981;8;19;2018;urban;0,285714286;0;1;1;1;0;0;0;1;1;1
1,214989981;8;20;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
1,214989981;8;21;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;1
1,214989981;8;22;2018;urban;1;0;1;0;0;0;0;0;1;1;1
1,214989981;8;23;2018;urban;0,25;0;1;1;1;1;1;0;1;1;1
1,214989981;8;24;2018;urban;0,4;0;0;1;1;1;1;1;1;1;1
1,214989981;8;25;2018;urban;0,25;0;1;0;0;0;0;0;1;1;1
1,214989981;8;26;2018;urban;0,333333333;0;1;1;1;0;0;0;0;1;1
1,413928516;9;1;2018;urban;0,2;0;0;1;1;0;0;0;0;1;1
1,413928516;9;2;2018;urban;0,5;0;1;1;1;1;0;0;0;1;1
1,413928516;9;3;2018;urban;0,2;0;1;1;1;0;0;0;1;1;1
1,413928516;9;4;2018;urban;0,4;0;1;1;1;0;0;0;1;1;1
1,413928516;9;5;2018;urban;0,333333333;0;1;1;1;0;0;0;0;1;1
1,413928516;9;6;2018;urban;0,5;0;0;0;0;0;0;0;0;1;1
1,413928516;9;7;2018;urban;0,4;0;1;1;1;0;0;0;1;1;1
1,413928516;9;8;2018;urban;0,333333333;1;0;0;0;0;0;0;1;1;1
1,413928516;9;9;2018;urban;0,333333333;1;0;1;1;0;0;0;1;1;1
1,413928516;9;10;2018;urban;0,5;0;1;1;1;0;0;0;0;1;1
1,413928516;9;11;2018;urban;2;0;1;1;1;0;0;0;0;1;1
1,413928516;9;12;2018;urban;1;0;1;1;1;1;0;0;1;1;1
1,413928516;9;13;2018;urban;0,2;0;0;1;1;0;0;0;1;1;1
1,413928516;9;14;2018;urban;0,75;0;1;1;1;0;1;0;1;1;1
1,413928516;9;15;2018;urban;0,25;0;1;0;0;0;0;0;0;1;4
1,413928516;9;16;2018;urban;0,25;0;0;0;0;0;0;0;1;1;1
1,413928516;9;18;2018;urban;0,5;0;0;1;1;0;0;0;1;1;1
1,413928516;9;19;2018;urban;0,25;0;0;1;1;0;0;0;1;1;1
1,413928516;9;20;2018;urban;0,5;0;0;1;1;0;0;0;1;1;1
1,413928516;9;21;2018;urban;0,333333333;0;1;1;1;0;0;0;1;1;4
1,413928516;9;23;2018;urban;0,5;0;1;0;0;0;0;0;0;1;4
1,413928516;9;24;2018;urban;0,333333333;0;1;1;0;0;0;0;0;1;1
1,413928516;9;25;2018;urban;0,5;0;1;1;1;0;0;0;1;1;1
1,413928516;9;26;2018;urban;0,25;0;0;1;1;1;1;0;1;1;1
0,854892509;10;1;2018;urban;0,4;0;1;1;1;1;1;0;1;1;1
0,854892509;10;2;2018;urban;0,5;0;1;1;1;0;0;0;0;1;1
0,854892509;10;4;2018;urban;0,285714286;0;0;1;1;1;0;0;1;1;1
0,854892509;10;5;2018;urban;0,5;0;0;1;1;0;0;0;0;1;4
0,854892509;10;6;2018;urban;0,4;1;1;1;1;1;0;1;1;1;1
0,854892509;10;7;2018;urban;0,666666667;0;1;1;1;1;1;1;1;1;1
0,854892509;10;8;2018;urban;0,25;0;1;1;1;0;0;0;1;1;1
0,854892509;10;9;2018;urban;0,714285714;1;1;1;1;1;0;1;1;1;1
0,854892509;10;10;2018;urban;0,666666667;0;1;1;1;1;0;0;1;1;1
0,854892509;10;11;2018;urban;0,8;0;1;1;1;0;0;0;0;1;1
0,854892509;10;13;2018;urban;1;0;1;1;1;1;0;0;1;1;1
0,854892509;10;14;2018;urban;0,75;0;1;1;1;1;1;1;0;1;1
